id,text,company,positive,negative,notr
11,"Büyükçekmece Postaları Şubesi'nden dağıtıma çıkarıldı diye teslimat kodu geldi. Sabah ve akşama kadar bekledim, şimdi kargom niye gelmedi diye baktım, teslim edilmiş yazıyor. Kime teslim edildi? Neden teslim edildi? Bir başkasına mı? Madem yanlış, her önüne gelen bu kargo benim diye alabiliyor. Neden teslimat kodu gönderiyorsunuz? Kaybolan kargom ne olacak?",,,,
12,"Bugün saatlerce müşteri temsilcisi aradım ulaşılmıyor, sadece şuna bas buna bas. Taahhüdüm bitti yenilemek istiyorum. Bu kadar zor olmamalı. Üzülüyorum iletilsin ve buna bir çare bulmalarını istiyorum. Yıllardır müşterileriyim. Saygılarımla iyi günler",,,,
13,"13-06-2024 Perşembe saat 21:15'te 4. kat erkek giyim bölümünde aldığım ürünleri denemek için soyunma kabinine gittim. Orada kabin önündeki görevli kadın personel 'Burası kapalı' dedi. Bunun üzerine elimdekileri bırakıp mağazadan çıkarken kasiyere 'Kaçta kapanıyor?' diye sordum. '22:00'da kapanıyor' dedi. Kısa süreli bir şok geçirdim. Görevli kadın personel erkek katının soyunma kabinini kapatmış ancak mağaza 45 dakika sonra kapanıyor. Bu iş yeri benim olsa, ilk önce kim yetkiliyse onu, daha sonra bu personeli işten çıkarırım. Firmayı bu şekilde mi sabote ediyorlar anlamadım. Böyle personel niye çalıştırırlar, ayrı bir merak konusu.",,,,
14,"2 adet Dijitsu marka televizyon aldım. Servis bir türlü kurmuyor, gelmiyor. Muğla Milas'ta oturuyorum. Gerekli bilgileri ve konumumu attım. Her gün aramama rağmen mazeret üstüne mazeret sunuluyor. Konu ile ilgili mağduriyetimin giderilmesini istiyorum. Muhatabım kimse, lütfen bana ulaşsın.",,,,
15,Akbank müşterisi olarak Free kartım var. Tam senesini hatırlamıyorum ama sanırım 10 seneye yakındır kredi kartım var kredi kartım onaylandığından beri limitim 543 TL. Sürekli limit arttırımı için başvuru yapıyorum yasal düzenlemeler gereği tüm bankalardan toplam kredi kartı limitiniz doludur limit düşürün tekrar başvurun diye mesaj geliyor. Başka bankadan olan yüksek limitli kredi kartımı iptal ettiğim halde sürekli aynı SMS geliyor. Mobilde önerilen kart limiti bayağı yüksek ama yine limitim arttırılmıyor. Allah aşkına 543 lira limitle ben ne alabilirim markete gitsem borçlu çıkarım. Lütfen bir an önce şu limitimi yükseltip sorunumu çözün yoksa zaten kartımı kullanamayacağım Akbank'la tüm ilişiğimi keseceğim.,,,,
16,Hepsiburada.com çok güvendiğim ve birçok kez alışveriş yaptığım bir site. Çekiliş adı altında uygulaması var. 10 adet çekiliş ya da daha fazla olabilir katildim. Hiçbir tanesi çıkmadı. Artık güvenim kalmadı. Kime çıkıyor. Nasıl çıkıyor muamma. Yakışmıyor…,,,,
17,Digiturk kutum arızalı ve değişimi gerekiyor. Bana söylenen 450 Tl servis ücreti ödemem gerektiğini yoksa yapamayacaklarını ilettiler. 14 yıldan fazladır üyesi olduğum her ay ciddi ücret ödediğim firma kendi ürünün arkasında durmayıp kutusunu ücretsiz değişiklik yapması gerekirken üstüne para istenmesi saçmalık. 10. Ay sözleşme sürem dolunca üyeliğimi iptal edeceğim.,,,,
18,"Trendyol Express Tuzla Elma'da kaç gündür beklettiği kargomun iadesini istemiş. Bu aşamaya kadar ne kadar arasam da hiç bilgi vermediler. Talep açtılar, kapadılar ve en son kargo hasar almış ürünü ulaştırmadılar. Bu yüzden beni oyaladılar. Bundan önce bu kargodan teslim aldığım diğer ürün de onların yüzünden kırık geldi. Zamanımı ve paramı harcadılar. Zaten iadenin bankaya yansıma süresi de sıkıntılı. Trendyol'da bayram zamanı mağdur oldum. Ayın 8'inden beri o depoda, bugün ayın 13'ü.",,,,
19,"Migros Hemen, daha önce de olduğu gibi yine eksik ürün sorununu yaşattı. Sipariş geçmişinde (Sipariş Numarası: 450916412) tüm ürünler teslim edilmiş görülse de 2 paket dondurmamız (265 TL) teslim edilmedi. Müşteri hizmetlerini 20 dakika boyunca telefonda bekleyip yalnızca 'kaydınızı oluşturduk' şeklinde dönüş alabildik. Ürünlerin iade edilmesini talep ediyorum. Bu şekilde profesyonel olmayan hareketler firmadan bizi soğutuyor. Bir daha alışveriş yapmak mı? Asla!",,,,
20,"Metro Turizm 13.06.2024 Ankara-İzmir saat öğlen 12.00 otobüsü (plaka 20 AF 515) şoför ve muavinlerin rahatlığı ve keyfine düşkünlüğü sebebiyle her yolcu indirdiklerinde sigara molası vermeleri, Afyon Dinlenme Tesisleri'nde mola süresi 30 dakika olmasına rağmen yolcular olarak otobüsün önünde kapının açılmasını beklememize neden olmuştur. Vaktinden geç kapıyı açıp yola çıkmaları sebebiyle yaklaşık 8 saat sürmesi gereken yol 10 saat sürmüş ve şoför sık sık aranıp hız yaparak yolcuların hayatını riske atmıştır.",,,,
21,Blenderda dondurma yaparken blender bıçağının üst tarafı kapağın içindeki delikte kaldı. Robot çalışıyor ama boşuna çalışıyor. Lütfen en kısa sürede bana ulaşılmasını istiyorum. Bu durum Arzum şubesine hiç yakışmıyor. En kısa zamanda yapılmasını arz ederim.,,,,
22,Vodafone 140 TL olan faturayı taahhüt biter bitmez 350 TL yapıyor konuyla ilgili daha uygun bir fiyat talep ediyorum. %100 den fazla zam yapılıyor neden bu kadar arada fark var anlamıyorum. Müşteri hizmetler aradı Vodafone yanımdaki ile aynı tutarları söylüyor. Konuyla ilgili destek rica ediyorum.,,,,
23,"Ziraat Bankası nefes ayları özelliğini denemek için kullanmak istedim. 11.05.2024 tarihli ekstreye başvurdum. Başvurudan sonra garanti olsun diye müşteri hizmetlerini de aradım. Aynı şekilde 11.05.2024 tarihli ekstrenin %50 den fazlasını ödersem geri kalan kısmın faizsiz olarak aktarılacağını belirttiler. 33210 TL olan borcun 16832 lirasını ödedim. Yani %50 den fazlasını ödeyerek kampanya için gerekli şartları taşıdım. Nefes ayları ile ilgili Ziraat Bankası'nın sitesinde yazan ifade aynen şu şekilde: [Ekstreniz bu ay nefes alsın! Ekstre borcunuzun %50’sini ödeyin, kalan ekstre borcunuzu faizsiz erteleyelim.] Bankanın sitesinde yazan bu ifadeye göre geri kalan kısmı için faiz işletilmemesi gerekirken 11 Haziran tarihli ekstremde vergileri ile beraber 880 lira faiz+vergi gözükmektedir. Bankanın maaş müşterisi olarak hem hesabımı hem de kredi kartımı aktif olarak kullanmaktayım. Kampanya şartlarında açık olarak yazılan durumun düzeltilmesini talep ediyorum.",,,,
24,"Merhaba, BİM'den aldığımız Buono Dolce markalı, bütün fındıklı ve fındık kremalı sütlü çikolata ibareli ürünü her sene almamıza rağmen, bu sene aldığımız iki kutu çikolatanın içinden fındıklı herhangi bir çikolata çıkmadı. Resmen kandırılmış gibi hissettik. Fındık kreması bile yok içinde. Dolgusunun ne olduğu bile belli değil. Tadı bir değişik. Geri dönüş yaparsanız sevinirim.",,,,
25,"Hot Döner Hatay usulü söyledik, lavaşa sarılmış tavuk sote geldi. Üstelik içinden kemik çıktı. İş yerinin savunması ise 'Elimizde olan bir şey değil, çıkabiliyor' şeklinde oldu. Bağlıca şubesi bu durumu yaşattı. İnsan sağlığıyla oynuyorlar. Onlardan kaynaklı değilmiş gibi davrandılar.",,,,
26,"1 yıl önce aldığım Karaca marka mutfak robotunu aldığımdan beri 3-4 kez kullandım ve bozuldu. Müşteri hizmetlerine ulaşamıyorum. Servise mi götüreceğim, aldığım yere mi bilgi alamıyorum. Karaca markasının ürünleri hakkında daha fazla bilgi almak istiyorum. 1 yılda 3-4 kez kullanılan bir robotun nasıl bozulduğunu anlamış değilim.",,,,
27,"N11 Muggo satıcısından aldığım 205355241230 sipariş numaralı terliklerin hepsi farklı gönderildi. 6 adet ev terliği aldım, 5 adet pazar malı gibi numaraları küçük dışarı terlik gönderildi. Canlı desteğe ve satıcıya yazdığımda hiçbir şekilde yardımcı olmadılar. Mağduriyetimin giderilmesini istiyorum.",,,,
28,Netflix üyesiyim. Bir ay içerisinde iki kez aylık üyelik ücreti kartımdan kesilmiş durumda muhatap bulamıyorum. Daha önce de tekrarlanan bu duruma acil çözüm üretmenizi bekliyorum. Ekte bu ay içerisinde iki kez ödenen aylık üyelik ücreti bulunmaktadır.,,,,
29,"Görsellerine güvenerek aldığım ürün, kötü bir paketlemeyle ve hasarlı bir şekilde geldi. İletişim kurabileceğim bir muhatap bulamıyorum. İade ve değişim imkanı yok, bu durumda param boşa gitmiş oluyor. Aradığımda telefonlara cevap veren yok, yazdığımda ise geri dönüş yapılmıyor. Bu durumdan dolayı çok üzgünüm ve iade talep ediyorum.",,,,
30,"30.03.2023 tarihinde sahibinden.com sitesine koyduğum 2 adet (iPhone 14 promax) – (iPhone 12 Pro) telefonlarım için bir alıcıyla anlaştık.Alıcı şahıs İ*******'daydı ben k********'daydık. Alıcı şahıs İ*******'da arkadaşınız varsa ona gönderin daha sonra biz arkadaşınızla buluşalım telefonları görelim uygun olursa parasını verip alalım dedi. Kabul ettim ve k******** t******* Sürat Kargo şubesinden telefonları paketleyip İ*******'a arkadaşıma gönderdim.Bu arada arkadaşımın da numarasını kendisine verdim, telefon geldiğinde iletişime geçip arkadaşımla alışverişi tamamlaması için.31.03.2023 günü arkadaşım yabancı bir numaradan aranıyor kargo görevlisi olduğunu kargo kodunu vermesi gerektiğini söylüyor. Fakat arkadaşıma gelen herhangi bir kod yok. Arkadaşım gelmediğini söylüyor ve telefon kapanıyor.Arkadaşım bu olay üzerine beni arıyor böyle bir durum yaşandı şubeyi ara istersen diye. Sistemde kargo teslim edilmiş görünüyor. Şubeyi arıyorum evet teslim edildi diyorlar. Kime verdiniz diye soruyorum alıcı kişiye diyorlar. Arkadaşım iş yerinde nasıl teslim ettiniz diyorum bilmiyoruz alıcı kimse teslim ettik diyorlar.Sonradan öğreniyoruz ki şubeden üçüncü bir şahıs adrese teslim gitmesi gereken kargomuzu kargo kodu ve kimlik ibrazı olmaksızın elini kolunu sallaya sallaya alıp gidiyor.Daha sonra arkadaşım şubeye gidiyor tabi siz nasıl böyle bir şey yaparsınız vs vs. Şube müdürü ü**** bey kendi haksızlıklarını o an kabul ediyor ve resmi işlemleri başlatın kamera kayıtlarını paylaşacağız her konuda yardımcı olacağız diyerek söz veriyor.Tabi sonra olaylar bu şekilde gelişmiyor. Sürat Kargo'yu arayıp tazmin talebimizi oluşturuyoruz, Şikayetvar, BTK vs her yere şikayetimizi oluşturuyoruz. Tüketici hakem heyetinde de hakkımızı arıyoruz. Bugün itibariyle olayın üzerinden 1.5 sene geçti yaklaşık 10-15 tane tazmin talebi oluşturduk hepsi reddedildi. Red sebebi ise kargo bilgilerinin üçüncü şahıslarla paylaşılması!.",,,,
31,"Bir gaz açma işlemi için 5 iş günü verilir mi? Parasını ödüyoruz. Verilen hizmete bakın, en geç 48 saat içinde olması lazım işlemlerin. Bu nasıl bir işletmedir, alay eder gibi. Lütfen bir an önce düzenleme sağlayın. İnsanları mağdur etmeyin. Evin içindeyiz, her şey tamam, parasını yatırmışız. Bir açma işlemi bu şekilde olamaz.",,,,
32,Ziraat Kredi kartı limit arttırma isteğim direkt red yiyor acil çözüm istiyorum başvuru oluşturduğum gibi anında red cevabı geliyor aynı kartta çok daha yüksek limitlerde kullanabilen kişiler var lütfen bir sorunun çözülmesini istiyorum. Uygulamadan yapıyorum,,,,
33,"Sipariş verdim. WhatsApp üzerinden 1 aydır hazırlanıyor diyorlar. Kesinlikle güvenip fotoğraf atmamak lazım, sadece oyalıyorlar. Hazır mı diye mesaj attım, eğer değilse iptal edeceğim dedim. Tek dedikleri, sipariş zaten iptal edilmiş. Böyle kötü bir deneyim yaşamamıştım.",,,,
34,"10 aylık bebeğim, 8 yaşındaki oğlum eşim ve ben yediğimiz yemekten zehirlendik. Otel pislik içinde. Odalar rezil. 2 gecemiz kalmasına rağmen oteli terkediyoruz. Çocuklarım mahvolmuş durumda. Kusmaktan perişan oldular. Her yere CİMER'e şikayet edeceğim. 2 gecelik paramın derhal iadesini istiyorum",,,,
35,"12 Haziran 2024 tarihinde 07 BCK 959 plakalı otobüs için bilet kestik. 900 TL ödedikten sonra bize mesaj atıp saatimizin değiştiğini ve başka bir saate alındığımızı bildirdiler. Gara gittik ve belirtilen saat dışında 40 dakika kadar bekledik. Otobüs geldiğinde çok eski ve firmaya ait olmadığını gördük. Bindik, fakat yerimizi başkasına vermişlerdi. Bizi başka bir yere oturttular. Şoför gelip herkesin kendi suyunu almasını, muavin olmadığını ve ikram beklemememiz gerektiğini söyledi. Alanya'dan Adana'ya geliyorduk ve en kötü virajların olduğu yerde tam 4 kere arabayı stop ettirdiler. İki şoför sürekli dalga geçer gibi yer değiştirdiler. Yolcu ineceği zaman otobüs o kadar eskiydi ki bagaj açılmıyordu. Yolda yarım saat bununla uğraştılar. Hiçbir gara girmediler. Adana'ya geldik ve bizi bir petrol istasyonunda indirdiler. Ayrıca, 900 TL ödediğimiz bilet fiyatının, diğer yolcularla konuştuğumuzda herkesten farklı kesildiğini anladık. Bunları gerçekten yaşadık ve dahası da var ama yer yetmiyor. Artık asla bu firmadan bilet almam ve kimseye de aldırmam. Otobüsü kiraladıklarını söylediler. Resmen bütün yolcularla dalga geçtiler.",,,,
36,"Epttavm'den far camı siparişi verdim. Bansak Global Firması, aynı gün kargo diye insanları yanıltıyor. Pazartesi günü sipariş verdim, hala kargoya verilmedi. Madem göndermeyeceksiniz, neden insanları mağdur ediyorsunuz? Far camım Kurban Bayramı tatiline giriyor. Bu ne aymazlıktır kardeşim?",,,,
37,"03 Haziran 2024 tarihinde 5423**** **** 7856 numaralı Bankkart Classic kredi kartımdan 118,00 TL kart aidat ücreti adı altında alınan yersiz ve kanunsuz bedelin, aşağıda belirtilen kanun hükümleri gereği koşulsuz ve şartsız iptal edilerek tarafıma bilgi verilmesini rica ediyorum. Aksi takdirde yasal haklarımı kullanacağımı ve kredi kartımın kapatılması işlemini başlatarak kartımı iptal edeceğimi belirtmek isterim. Tüketici Kanunu'nun 28 Mayıs 2014 tarihli ve 6502 sayılı yasasının 31. maddesinin 3. fıkrasına göre; kart çıkaran kuruluşlar, tüketicilere yıllık üyelik aidatı ve benzeri isim altında ücret tahsil etmedikleri bir kredi kartı türü sunmak zorundadır. Ayrıca, 4822 sayılı Kanun ile değiştirilen 4077 sayılı Tüketicinin Korunması Hakkında Kanun'un sözleşmedeki haksız şartlar başlıklı 6. maddesi gereğince bankanızın almakta olduğu üyelik ücreti herhangi bir hizmet karşılığı olmadığından, söz konusu sözleşme şartı önceden hazırlanmış özellikle standart sözleşmede yer alması nedeniyle içeriğine etki edilmeyip müzakere edilemediğinden haksız şarttır. 13. Hukuk Dairesince verilen 2011/4736 esas ve 2011/11579 sayılı son karara göre, söz konusu yıllık kart ücreti aidatının Borçlar Kanunu'nun 125. maddesi ve Hukuk Genel Kurulu'nun 2010/1-93-88 sayılı kararı uyarınca geriye dönük kesilen kart aidatlarının da iadesi gerektiğine dair kesin hükmü bulunmaktadır. Kesilen 118,00 TL ücretin iptal edilmesini ve ekstra bir yükümlülük altına girmek istemediğimi belirtiyorum. Durumla ilgili ivedilikle dönüş yapılmasını talep ediyorum. Aksi halde Bankalar Birliği ve Tüketici Hakem Heyeti'ne de başvuruda bulunacağımı bildiririm.",,,,
38,"Sonu 9412 ile biten Akbank Axess Platinum kredi kartımdan 11.06.2024 tarihinde bilgim ve onayım dışında 'üyelik ücreti' adı altında 630,00 TL tutar çekilmiş ve ekstreme yansıtılmıştır. Belirtilen tutarın geri iade edilmesini talep ediyorum. Aidat ücretlerinin aşağıda belirtilen kanun hükümleri gereği ve ekstra hiçbir şarta bağlanmaksızın iptal edilmesini talep ediyorum. Tüketici Kanunu 28 Mayıs 2014 31. Madde 3. Fıkra: Kart çıkaran kuruluşlar, tüketicilere yıllık üyelik aidatı ve benzeri isim altında ücret tahsil etmedikleri bir kredi kartı türü sunmak zorundadır. 4822 sayılı Kanun ile değişik 4077 sayılı Tüketicinin Korunması Hakkında Kanun'un sözleşmedeki haksız şartlar başlıklı 6. Maddesi gereğince bankanızın almakta olduğu üyelik ücreti herhangi bir hizmet karşılığı olmadığından, söz konusu sözleşme şartı önceden hazırlanmış, özellikle standart sözleşmede yer alması nedeniyle içeriğine etki edilmeyip müzakere edilemediğinden haksız şarttır. 13. Hukuk Dairesi'nce verilen 2011/4736 esas 2011/11579 sayılı son karara göre, söz konusu yıllık kart ücreti aidatının BK. 125. Madde ve HGK 2010/1-93-88 sayılı karar uyarınca geriye dönük kesilen kart aidatlarının da iadesinin olacağına dair de kesin hükmü bulunmaktadır. Bu kanun ve yasalara dayanarak alınan aidat ücretlerinin tarafıma iadesi hususunda gereğinin yapılmasını, üyelik ücretinin gün içerisinde iptalini ve tarafıma iadesini talep ediyorum. Aksi takdirde kart aidatı iadesi için Tüketici Hakem Heyeti'ne, memnuniyetsizliğimin geçmemesi durumunda kartımın ve hesaplarımın iptali için bankanıza başvuracağımı buradan bildiriyorum. Bu konu hakkında gereğinin yapılmasını saygılarımla arz ederim. Para iadesinin tüm ücret tutarı kadar yapılmasını talep ediyorum.",,,,
39,"13.06.2024 tarihinde 08508000200 numarasını İnternetten TurkNet iletişim numarası olarak görüp internet aboneliği için aradım. Benden TCKN ve adres bilgilerimi aldılar. Ön onay işlemi yapıldı. Daha sonra 02162125402 numaralı hattan arandım yine aynı şekilde ön onay istendi ve hemen ardından 08504808037 numaralı hattan WhatsApp üzerinden iletişim kurularak kimlik fotoğrafım istendi ve ben göndermedim. Meğer bu numaralar TurkNet' e ait değilmiş. Bu numarayı kullanan kurum, kuruluş her kimse kişisel bilgilerimi kullanmaları, hakkımda herhangi bir işlem yapmaları halinde 13.06.2024 tarihinden itibaren tarafıma yapılacak hiçbir işlemi kabul etmeyip, bilgim dışında yapılacak, her türlü durum için, dava süreci başlatacağımı beyan ederim. Bu numaradan şikayetçiyim.",,,,
40,Trendyol'dan siparişimi verdim baktım ki Gönderici Kırklareli'de. Ben de Ben Edirne'deydim. Mesafe 70 km aynı gün bile gelir. Bugün 3. Gün kargo ortada yok Kırklareli'nden İstanbul'a gitmiş. Trendyol'a göre ise bu işte bir tuhaflık yok. Verdikleri cevap bu. İstanbul'a gidiyor oradan tekrar dağıtıma çıkıyor yıl olmuş 2024 insanlar uzaya gidiyor Trendyol 70 km mesafeyi üç günde alamıyor,,,,
