id,text
161,Ben Tuncay Baydar. izmitte superonline Fiber kullanıcısıyım..verdikleri hizmet bu sakın almayın. aylardır hizmetleri kötü kabul etmiyorlar.bıktırdılar...teknik bakıp çözmüyor. sorsalar harikalar... #turkcellsuperonline #superonline #sikayetvar. #marketTeroru
162,Ben canlı destek günaydın herkese👊
163,@alperunsalg @kuveytturk @KTDestek Kuveyt Türk Sağlam Kart’ın Asistans özelliklerini ve eğitimdeve sağlıkta her zaman vade farksız 5 taksit imkanı o da ben eklemiş olayım. 👋
164,Turkcell haksız kazanç sağlıyor. Açma kapama bedeli yasal değil. Bir de son gün fatura ödemesi yapacakken akşam tahsilat dışı deyip kullanımlarımın kısıtlandığı mesajı geldi. Hem suçlu hem de güçlü. Derhal o açma kapama bedeli kaldırılmalı. Turkcell 10 yıllık müşterinden haksız kazanç sağlayamazsın.
165,Bugünlük bu kadar! iyi geceler!
166,Netflix evimizdeki televizyondan bizi durmadan atıyor her girdiğimizde doğrulama isteyip bizi uğraştırıyor. Başkalarıyla paylaşmamak için yapılıyor anlıyorum da kimseyle paylaşmıyoruz zaten. Kendi hesabımıza kendi evinizde her seferinde giril yapıyoruz. Bir sürü platform var Netflix iyice sabrımızı zorluyor.
167,Koçtaşdan 06.08.2023 tarihinde kamp sandalyesi aldım ve bir kez kullanımdan sonra dikişlerde atma ve yırtılmalar oldu Defalarca müşteri hizmetlerini aramam15 Eylül 01 Ekim de yapmış olduğum yazılı şikayet başvurumlarında bir sonuç alınamamıştır @Koctas @KoctasDestek @TukoderGM
168,THY #Euroleague #FinalFour Finalini seyretmek icin en iyi yer yine bir #THY ucusu oldu. Finali kacirmamanin mutlulugu !!..💙💛💙💛@TK_TR
169,Sekabet sitesinden yardımcı olmalarını bekliyorum. Siteye yeni üyeyim siteye 1 hafta oldu. Daha sorunsuz giriş çıkış yapıyordum. Ama bugün giriş yapamadım. Sanırım şifreyi yanlış hatırlıyorum. Şifre yenileme linki de göremedim. Kullanıcı adım diamondtt6 acilen ulaşım sağlayıp giriş yapmama yardımcı olursanız çok sevinirim.
170,2 temmuz tarihinde arabama çarptılar 15 gündür sigortanız dosyamı bekletiyor arabam serviste bekliyor. Full kaskom olmasına rağmen neden dosyam bekletiliyor 11/7487876 @turkiyehedestek @TurkiyeHE@SikayetvarCom @SigortaSikayet
171,Bugün yine metrodaki başta engellilerin kullanması gereken asansörünü kullananlara bağırdım. Maalesef bağırmadan anlatamıyoruz insanlar. Gerçi yine anlamadılar.Bu konuda bir yaptırım yok mudur? Bozulsa engelliler kullanamayacak. @MetroDestek
172,Abonelik iptali için aradım hiçbir müşteri temsilcisine ulaşamıyorum. 75 TL olarak başlayan 2 yıl taahhüdüm artış olmayacak iki yıl boyunca demelerine rağmen 200 TL oldu. İnternet iptali için iletişim kuramıyorum. İlgilere konuyla ilgilenmenleri için rica ediyorum
173,LG Türkiye kurulum sorumsuzluğu hk.\nŞok market üzerinden satın almış olduğumuz LG marka klimalarımızın kurulumu için LG Türkiye ile iletişime geçtim fakat 25 Temmuz olarak kurulum yapabileceklerini belirttiler. Eğer kurulum tarafında bu kadar sıkıntınız var ise neden pazaryerlerine stok veriyorsunuz ve kurulumda destek olmuyorsunuz? Neden her defasında kullanıcı problem yaşamak zorunda? Yalvar yakar 25 Temmuz'da verilen kurulum tarihini 17 Temmuz olarak revize ettirdim. Ama malum sıcaklardan dolayı 17 Temmuz'u bekleyemeyiz. Kurulum desteği 15 ay sonraya verilir mi? Max 10 iş günü içerisinde yapılması gerekir. Bu mağduriyetimizi nasıl gidermeyi planlıyorsunuz? Haziran ayı içerisinde kurulum yapılmasını istiyoruz. Aksi halde ürünlerimizi iade edeceğimizi belirtmek isteriz.!
174,Yaklaşık yarım saattir bağlanmaya çalıştığım müşteri temsilcisine bir türlü bağlanamıyorum. Gerçek biriyle görüşmek istiyorum. Canlı yanıt sistemi yerine doğrudan bir temsilciyle iletişim kurmak istiyorum. Sistemden memnun değilim haberim olmadan yüksek miktarda fatura bilgisi alıyorum.
175,Tam 1 haftadır @DSmartDunyasi @DSmartDestek uydudan yayın alamıyoruz ve tam 1 haftadır servisinizin gelemesini bekliyoruz. Hayır nasıl bir bahaneniz olabilir 1 haftadır servisinizin gelmemesi için ? @DSmartDestek @DSmartDunyasi üyeliğimizi iptal ediyoruz @DSmartDunyasi pişmanlktr
176,Turknet haftada bir bölgede teknik arıza var diyip interneti kesiyorsun bide arayınca müşteri hizmetlerine bağlamıyorsun. Kardeşim belki başka şikayetim var yetti yaaa@TurkNetDestek
177,HAKKIMI VERECEKSİNİZServis 1 : Ana kart değişirse olur(800tl) OLMADIBölge : Ana kart değişirse olur OLMADI Servis 2 : Ana kart değişsede olmayacak ! HAKLI OLMADI ! 3-4 YILDIR AÇILAN #netflix SEBEBİ OLMADAN AÇILMIYORÇÖZECEKSİNİZDEĞİŞTİRECEKSİNİZ @arcelik @ArcelikDestek
178,#THYKudüseYolAç ki kardeşlerimizin SESine SES olabilelim.@BilalEksiTHY @TK_TR @TK_HelpDesk @TurkishAirlines @TK_MiddleEast
179,TeknosaCell'den büyük bir vasatlık durumu yaşadım. Hizmet almamama rağmen 200 TL faturama yansıtıldı. Mayıs 23'te müşteri hizmetlerini aradım ve yurt dışına çıktığınızda tarifenizi yurt dışında kullanabilirsiniz denildi. Ben de bunu baz alarak çıkışımı gerçekleştirdim fakat Mayıs 24'te Azerbaycan'da hattımı uygulamadan aktifleştirdim fakat aktifleşmedi ve hiçbir şekilde müşteri hizmetleri ile iletişime geçemedim. Bu birinci sorundu. Hattımı daha fazla faturama yansımasın diye yurt dışına kapatıp hattımı telefondan çıkarıp buradan mecburen yeni bir hat almak zorunda kaldım. Mayıs 26'da Türkiye'ye dönüş yapıp müşteri hizmetlerini aradım ve durumu izah ettim hiçbir şekilde hizmet alamadığımı belirttim ama hiçbir şekilde yardımcı olmadılar. Gereğinin yapılmasını talep ediyorum.
180,Iyzico iznim olmadan sürekli 39 TL tutarında Ziraat kartımdan para çekiyor herhangi bir üyelik yaptığımı hatırlamıyorum ve nasıl iptal edilir bilmiyorum. Bunun iptalini ve paramın iade edilmesini istiyorum. Herhangi bir hizmet almıyorum haksız kazanç elde ediliyor.
181,Yedikır Kuruyemiş çekirdeği aldık. Aldığımız üründen içinden kurumuş salyangoz çıktı. Ürün asla hijyenik değil. Böyle bir saçmalık görülmemiştir. Siz müşterilerinize böyle mi hizmet ediyorsunuz? O kadar marka denedim ve ilk defa böyle bir sorunla karşılaştım. Bu sorunun çözülmesini istiyoruz.
182,Üretim kalitesi ve kapak sistemi olsun çok kaliteli.
183,Superonline kadar rezil bir ISS görmedim. 2 gündür internet yok evden çalıştığımı ve acil internet ihtiyacım olduğunu belirtmeme rağmen iletişime geçen dahi yok.@TurkcellHizmet
184,Rezalet bi bankasınız @Akbank @AkbankDestek
185,TurkNet 3 gün geciken faturam nedeniyle internetimi kısıtladı. Faturayı ödedik ancak saatlerdir kısıtlamayı kaldırmıyorlar. Ödemeyince jet hızıyla kesiyorlar ancak söylenen hızda internet hizmeti sunmuyorlar. İnternet hızı yavaş fakat fatura 3 gün gecikince şimşek hızıyla internet kesiliyor.
186,Zaman makinesi ne zaman icat edilir ödeme yapmak istiyorum @VakifBank #vakıfbank@VakifBankDestek#vakıfbankdestek
187,@TurkNetDestek 2655154 abone no destek kaydı numarama ulaşamadım.
188,Bir aydır internet yok. Apartmandaki diğer sakinlere internet hizmeti gelmiş fakat siz hala sunduğunuz internet hizmetini sağlayamıyorsunuz. Üstüne bir de bir aylık fatura göndermişsiniz. Muhatap yok arayan soran yok. Biz arıyoruz müşteri temsilcisi yok. En kısa zamanda iptal ettiriyorum.
189,#hayatınheranındanüfusyanında ise şimdi sıra sizde. Sizi bizim yanımızda görmek istiyoruz @sefikaygol @TCNufusDestek
190,Sayın yetkililer sadece meraktan soruyorum; acaba birileri ısınıyor da faturasını ben ödüyor olabilir miyim? Çünkü ben şuan baya baya üşüyorum ama gelen faturam bu. Yani tasarruf edelim edelim de bundan daha ötesi kombiyi sökmek sanırım. @igdaskurumsal @igdasdestek
191,D-Smart internet taahhüt sürem bitmek üzereyken günde beş defa aradınız tekrar sizinle abone olmaya karar verdim. Yenilemenin ilk gününde internetim kesildi ve altıncı gün olmasına rağmen hala bir çözüm üretilmedi. Aradığım her müşteri temsilcisi farklı bir arıza olduğunu söylüyor. Günümüzde bu kadar uzun süre bir arızanın giderilememesi kabul edilemez.
192,@bombeleregell Onlar sabit kalacaksa gelmesinler zaten abijim no destek benden
193,Beko 7361 NFB aldım fakat 6 bölmenin alt 3 bölmesinde dondurma işlemi yapıyor diğer 3 bölme ise soğutmuyor. Ayrıca ürünü 07.06.2024 tarihinde aldım yani ürün 15 günlük ve tabii Kurban Bayramı'nda rezil olduk. Servis geldi derin dondurucuya cihaz bağladı ve 2 gün kapak açılmayacak dediler.
194,#sondakika ACİLEN MEVLANAKAPİ CADDESİ BOLGESİNE VİDANJOR YONLENDİRMESİ YAPMANİZ GEREKİYOR ROGARLAR DOLMUS ZEMİN KATLAR SULAR ALTİNDA KALDİ 02123015070 DAHİLİ 97 NUMARASİNİ ARADİGİMİZ ZAMAN TELEFONA CİKAN SAHİS BİZE HAKARET EDİP VİDANJOR YOLLAMAYACAGİNİ SOYLUYOR @iski_destek
195,@no_destek Samimi ortamı kazandırdığı bakış açısı herhangi bir yardıma ihtiyacın olduğu konuda bilgiye ulaşabilirlik üyeler arasındaki samimiyet ve en önemlisi kazandırdığı bilgilerle sen çalışma paran çalışsın’ı öğreten bir topluluk. İyi ki katılmışız iyi ki NO’luyuz 😎
196,13 Haziran 2024 tarihinde saat 13:30 civarında Garanti Bankamatik'e para yatırmak istedim. Hesabıma geçmeden parama el koydu. Müşteri hizmetlerini aradım 7 gün içinde paranız hesabınıza yatar dendi. Her gün arıyorum inceleniyor deniyor. Bugün 8. gün ve hala hesabıma param yatmadı.
197,hayırlı işler @igdasdestek
198,İstanbul Üniversitesi diş hekimliği Fakültesi online sistemi çalışmıyor. Randevu almak imkansız. Bunu benden hariç birkaç arkadaşım da denedi ve olmuyor. Çözün lütfen bu sorunu. En kısa zamanda çözülmesini talep ediyorum. Kimsenin mağdur olmaması tüm temennimiz.
199,Her ay faturayi duzenli kesseniz de ekstreye toplu fatura yansiyinca tasikardi gecirmesem? Ne dersiniz? hos olmaz mi? @DSmartDestek
200,@DS_Destek Doğa sigorta İletişim numaramı isteyip mesai saatinde arayacaz deyiparamamanız ayrı bir AYIP. Eksperlerinizin telefonlara çıkmaması ayrı bir AYIP . Insanları bu kadar mağdur etmeye hakkınız yok .
201,40 dakikadir ucagin icindeyiz. Daha 30 dakika daha kalcakmisiz. Size soylenecek söz yok ! @pegasusdestek @flymepegasus
202,Temple Beach Otel Didim'de Jolly Tur'dan 3 gece 4 gün olarak aldığım konaklama için Jolly Tur satış yaparken hijyenik temiz yeni ve aile oteli olduğunu söyleyerek aldık. Fakat otelin içerisine saat 11'de giriş yaptık. Erken geldiğimizi ilettiler. Lobide bekledik 2 saat içinde oda temiz dediler. Bu süre içerisinde ise oteli inceleme fırsatımız oldu. İnanılmaz kirli hijyen sıfır. Havuzlar sapsarı olmuş içinde sinekler yüzüyor. Personel yetersizliğinden temizlik geç saatlere bırakılmış. Tuvaletler kirli ve kanlıydı. Jolly Tur'dan iptal istedim. Otel görevlisi H****** Bey'in onaylamadığını yemek saatinde dağınık görmemin normal olduğundan dolayı iptal işlemim kabul edilmemiş. Zerre kadar helal etmiyorum. Ne Jolly Tur iptal işlemini onaylayana ne de paramı iade edene kadar tüm sosyal medyalarda resimler ile paylaşacağım. Böyle otel sahiplerine yakıştırmıyorum esefle kınıyorum.
203,Ya bu ne ya? Hangi çağda yaşıyoruz? Ne yapmaya çalışıyorsunuz? BİRİ NET BİR AÇIKLAMA YAPSIN ARTIK! NEDEN KESİP DURUYORSUNUZ ELEKTRİĞİMİZİ! @TCEnerji @iletisim @toroslardestek @enerjisa @enerjisadestek
204,Durduk yere hesabima niye bloke koyuyorsunuz? Saka mi bu?@ziraatbankasi @ZiraatDestek
205,Yaklaşık 2 ay önce İstikbal markasından oturma grubu aldık ancak gelen koltuk ayaklarında yanlışlık olup tekli ve üçlülerin ayak renkleri tamamen farklı. 2 aydır aldığımız şubeyi arıyorum ancak hâlâ getirmediler. Müşteri memnuniyeti sıfır marka değeri gözümüzde tamamen düştü. İstikbal Eryaman Alpak Şubesi.
206,Turknet AKK'yı kaldırmış. 2019 da zorunlu kalkacaktık. Hem pazarlama hem müşteri ilişkileri yönünden mükemmel hareket. @TurkNetDestek
207,Analistlerin Tavsiye Ettiği Hisseler;#TCELL Turkcell İletişim#THYAO Türk Hava Yolları#SAHOL Sabancı Holding#VESBE Vestel B. Eşya#MAVI Mavi Giyim#TAVHL Tav Havalimanları#KRDMD Kardemir#BIMAS Bim Mağazalar#ALARK Alarko HoldingBu Hisseler Takibinizde Olsun.👍🏻#Bist100
208,Maç Günü Denizlispor-Ç.RizesporYer:Atatürk StadıSaat:13.00
209,İzmir gümrükte yer alan İzmir şubenizde 3 tane atm var 3üne de para yatırılamıyor. Devlet bankasısınız ya bozuk olsun çok önemli değil dimi? Böyle bir durumla özel bankalarda karşılaşmazsınız. Ne kadar rezil bir durum ve bu 1 günlük sıkıntı da değil ya.@VakifBank @VakifBankDestek
210,Yaklaşık 7 yıldır bu deodorantı kullanıyorum kokusu bana özdeşleşti gayet güzel bir kokusu var fakat etkisi çabuk geçiyor
211,@toroslardestek Başka yerlerde elektrik binde bir kesilir o da beş dakika sonra gelir. Torosların dağıtım bölgelerinde binde ikibin kesilir on saat gelmez
212,Rüzgarnet kafasına göre beni dahi bilgilendirmeden abone yenilemesi yapmış. Ben kapatmak istiyorum. Adamlar yenileme yapıyor bana ulaşın. Arıyorum kimseye ulaşamıyorum. Nereden bulaştım size iptalini istiyorum. Deprem bölgesinde yüz zaten 6 ay kullanmadan ödettirdiniz.
213,Kaybetmediyseniz kargonun hangi şubede olduğunu söyleyin de biz gidip alalım bari! @UPSDestek @UPSTurkiye @UPS
214,Kahindi ama boğazına düşkündü. Nostradamus’un içine Neriman Teyze mi kaçtı? İnanılmaz ayva tatlısı tarifiyle Nostradamus da Her Book’a Maydanoz’da! #herbookamaydanoz#destekyayınları
215,Ajet Antalya-İstanbul 20.06.2024 09:50 uçağı personel eksikliğinden kaynaklı olarak önce rötar yaptı. Sonrasında personeller kapıda sıradaki insanlara bakarak bizim yanımıza da aynı şekilde gelerek 'Abi siz aile misiniz?' diye sordular. 'Hayır bizlik bir şey yok' dememizle 'Tamam abi' deyip başka insanlara teklifler sundular. Ellerinde biletler ve sözlü olarak tekliflerle 'Başka saate uçuşa alalım sizi' diye gezdiler. 10:10 dedikleri kalkışta şu an saat 10:56 ve hala uçak kalkmadı. Ayrıca insanlara fazla bilet satarak mağdur bıraktıkları insanları da gördük. Kötü bir havayolu şirketi bir daha asla tercih etmem.
216,Borçu olmayan vatandaşa ceza gibi fatura yollamak için iyi bir açıklamanız vardır sanırım? @AyedasDestek
217,Teknosa dan TCL 42 X model akıllı saat aldım akıllı saatlere özel hat var diye Teknocell adı altında hat satışı yapıldı. Taktık saate hoş görüyorum konuşuyorum. Dedim ki tarife bilgilerine ulaşayım ama ne mümkün! Müşteri hizmetlerine zor zahmet ulaştım illa ki hattın bir telefona takılması gerektiğini söylediler. Bakın bu mantıksız! İnsanlar zaten çocuğuna ulaşamadığı için bu saatlerden alıyor ki herkesin durumu aynı olmayabilir! Ne neden kalan kullanım vs bilgiler için telefona ihtiyaç duyuyorum? Uygun bir yazılım program geliştirin saatlerin menülerine entegre edin kardeşim. Sim kart kesiliyor zaten bit kadar kalıyor herkeste var mı ona uygun telefon niye şartlıyorsunuz ya da bu hakkı kendinizde nasıl bulabiliyorsunuz? Şikayet ya da müşteri talebi oluştururuz musunuz diyorum müşteri temsilcisine bu genel uygulama diyor 🤦🏻‍♂️ yani verilen cevap bile soruya uygun değil. Acilen bu duruma bir çözüm bulunmalı. Çocuklar kullanıyor ve ebeveynlerin denetleme hakkı fevri olarak tarafınızdan engelleniyor. Müşteri kazanmak için yalan beyanlarda bulunmakla birlikte iki farklı hukuki suç işlenmiş oluyor. Çözüm rica ediyorum. Teşekkürler
218,Sevgili @KoctasDestek 1045224651 sipariş numaraşı ürünün kafası tavana yapışmıyor. Ne yapmalıyım ?
219,#FF @TheVFoundation @World_Wildlife @CureBrainCancer @OCNA @BrainCancerCure @AmericanCancer @Support2Life @MakeAWish@AbuFone @savespecies
220,@ZiraatDestek @ziraatbankasi hem ATM parayı alıp hesapta göstermiyor. hem de beni bir ay bekletecek. Burada benim suçum ne
221,07.06.2024 tarihinde Akbank ATM'sinde param sıkıştı. 08.06.2024 tarihinde Akbank'ı arayarak bilgilendirdim. 4 gün içinde hesaba geçeceği söylendi. 4 gün sonra bilgiler eksik alınmış denerek yeniden işlem kaydı açıldı. Ayın 20'si oldu aradan bayram geçti ve hala para hesabıma geçmedi.
222,Bir firmaya şu zamanda ulaşılması bu kadar zor olmamalı. İptal başvuru talebinde bulundum. Kendileri tarafından iki defa aranacağım söylendi. Arandığımda dört dakika müzik dinlettiler. İnsanı bu interneti kullandığı güne pişman ediyorsunuz. Lütfen şu interneti iptal edin artık.
223,Butun aramalarima ragmen bi sonuca ulasmamasi gercekten sizinle iş yapılmaması gerektiginin kanıtı. 321 dolardan 200tl masraf tahsilati kesilmesi nedir? Konustugum müşteriler yok boyle bisey diyor. Kafaniza gore insana gore işlem mi yapiyorsunuz? @VakifBankDestek
224,Sayın @eksidestek#BiyolojiOgretmenliginde4000AcikVarken2500AtamaIstemekCokMu bir rt ile destek olmak zor mu?
225,Dünyanın en büyük lojistik firmalarının başında olan @UPSTurkiye Kayseri den İzmir e kargoyu 5 günde getiriyor olamaz değil mi? @UPSDestek @UPS
226,Vodafone Yanımda uygulamasında ki her hafta çevrilen çarklar da süprizden başka birşey vermiyorsunuz aylardır ve ciddi miktarda fatura ödüyorum sizlere ??? @VodafoneDestek
227,Bu ürün bir mühendislik faciası.Kullanımı ergonomik değil.Eski model kendi dönen tipi çok daha kullanışlı ve daha ucuz.Lütfen macera aramayınpedalı çevirince elinizde sap dönmesi gerekiyor ve çok ergonomik değil.Eski modeller daha kullanışlı.Yani bu parayı hakedecek bir ürün değil
228,Mayıs ayında Netspeed'den internet hizmeti almak için başvuruda bulundum. Yeni abonelik olduğu ve adrese ilk defa hat bağlanacağı için kurulum bedeli olarak 500 TL tahsil edileceğini söylediler. Kuruluma gönderdikleri firma kablo bedeli olarak 840 TL para aldı. \n\nKullanılan kablonun cinsi göz önünde bulundurulduğunda istedikleri para metre başına 28 TL. Bu hizmeti alma zorunluluğu olduğundan dolayı fahiş bir kablo fiyatı isteniyor. Firmadan kablonun faturasını istediğimde kabloyu fatura edemediklerini söylediler.\n\nÖzetlemek gerekirse hem kurulum ücreti olarak 500TL veriyorum hem de kurulum bedelinden daha fazla kablo bedeli ödüyorum. Yaptıkları iş yarım ve modem kurulumunu da yanlış yapmışlar. Kurulumu kendim yaptım.\n\nBöyle bir müşteri memnuniyeti anlayışı olamaz.
229,Rüzgarnet'e yeni abone oldum. Kullandığım nette 10 dakika kesinti olup sonrasında geçişimin sağlanacağı ve neti kullanmaya başlayacağım söylendi. Lakin geçişten sonra net halen gelmedi ve müşteri hizmetleri aramalarıma cevap vermiyor. Teli açıp geriye kapatıyorlar.
230,Kampanyadan yararlandım. Uygun fiyata geldi. Gayet iyi.
231,Test esttim çalıştığı için önemsemedim ufak çizikleri vardır görevini yapıyorsa sorun yok görecez
232,TeknosaCell kullanmaktayım. Faturamın 2 kez tahsil ediliğini gördüm. Konu ile ilgili iletişim kurmaları için telefon numarası bırakmama karşın herhangi bir şekilde aranmadım. Otomatik ödeme talimatımı bu sebeple iptal etmiş bulunmaktayım. Müşteri temsilcilerine ulaşamamakta cabası.
233,Profilo Şahinbey servisi ürünüm ellerinde 4 gündür. Bayram öncesinde dağıtıma çıkarıldı diye mesaj geliyor ancak teslimat yapılmıyor. Telefon ile aranıyor dağıtım yapılmıyor. Şimdi arıyorlar 'Efendim ürün gelecek şikayet oluşturmayın' diyorlar ve mağdur ediyorlar. Hâlâ ürün gelmeden 'Şikayet etmeyin' diyorlar. Bu kadar sorumsuz bir servis görmedim.
234,0212 907 06 60 numaralı telefondan arayıp @DSmartDestek müşteri hizmetlerinden oldukları söyleyip 60 tl vergi artışı oldu ama siz eski müşterimizsiniz size 28 tl yansıtacağız deyip onaylatmaya çalışıyorlar @DSmartDestek @SiberayEGM
235,Filistinde kimsesi kalmamış bir çocuğu seve seve misafir edip bağrıma basabilirim. Nasıl olur nereye başvurulur bilmiyorum. Elimden sadece dua etmek zulmü kınamak geliyor. 🥺@disisleridestek @TC_Disisleri
236,Büyük Düşünün; İşinizi ve Kendinizi Geliştirin! #takipedenitakipederim
237,@sonmezto @sonmezto Merhaba telefon numaranızı DM üzerinden alabilir miyiz?
238,Ürün orijinal kutusunda geldi. Samsung S10+ telefonuma uyum sağladı. Hızlı şarj desteği mevcut
239,Bacaklar ince ama taşıma vs cok pratik kılıfına rahat giriyor masada gergin daha ne olsun benı mutlu etti ne kadar dayanır ne kadar uzun omurlu olur bılemıyorum Ama fiyatına göre bence alınabilecek en iyi masalardan birisi dediğim gibi çok saglam bir şey değil gibi ama neye göre kime göre benim işimi görecektir
240,2 gün önce aldığım buzdolabının kapısı elimde kaldı #alikoçistifa @ArcelikDestek
241,Çok da fifi diyorsun yani.Öyle mi @DominosTR ? 😊Keyfiniz bilir..@DominosDestek
242,O nasıl bir savaş ki Türk Milli Takımına sponsorluk verip oyuncuları @btcturkpro @BtcTurkDestek reklamlarında oynatabiliyor :) #kripto
243,Tcherci adlı satış sitesinden aldığım 3 tekerlekli çocuk bisikletinin siparişi teslim edilmedi. Kargomu da inceleyemiyorum. Bugün sipariş vereli 8 gün oldu. Ödemeyi de yaptım ürün akıbetini bilmiyorum. İptal de edemiyorum ulaşabileceğim bir nokta da yok
244,İkisi de aynı coin bu fiyat farklılıkları neden acaba arada bu kadar fark olması normal mi @bitcicomglobal@onuraltantan@bitcicom @BitcicomDestek
245,14.03.2024 tarihinde D&R firmasının internet sitesinden aldığım Deerma LD220 soğuk hava nemlendirici cihazı yaklaşık 1 ay içinde cihazın su doldurma kapağının arızalanması nedeniyle D&R müşteri hizmetleriyle görüşme yapıp tamir için gönderdiğimde tarafıma 1 ay sonra tamir için gönderdiğim cihaz tamamen kırık bir şekilde geri gönderilmiş ve üzeri yeşil renkte boyanmış. Yetkililerle görüştüğümde cihazın müşteri kaynaklı sorundan dolayı yapılmayacağını söylediler. Sadece basit bir kapak değişimi yapılacakken şu an cihaz tamamen kırık ve kullanılamaz şekilde tarafıma teslim edildi. D&R tarafından mağduriyete uğradım.
246,@spectecular34 @vitalistt1 @KTDestek Müşteri hizmetleri ile görüştünüzmü paralar neden geçmiyor
247,Cwene halka arzı için talep durumunda LiderİptalİadeYapildi yaziyorneden @VakifBankDestek
248,Bunu pizza adı altında satmaktan utanır mısınız bilmem @DominosTR @DominosDestek
249,@iettdestek Merhaba bir personele ait değil genel bir durum. Otobüslerin çoğunun durağa yanaşmak yerine yolun ortasında durmayı tercih ettiğini her an gözlemliyoruz. Mecidiyeköy viyadük bunun en bariz örneği
250,@TurkNetDestek MerhabaMüşteri numaram 1966980 iptal dilekçesi yolladımİptal işleminin en ivedi şekilde devreye alınmasını istiyorum. İptal işlemi için benimle irtibata geçilmesini istiyorum.
251,Netflix yıllardır izlediğim Samsung Smart TV televizyonumu desteklemiyor. Aradığımda çözüm için hiçbir çaba olmadığı gibi direk üyelik iptali yapabilirsiniz dediler. Her uygulamayı açabildiğim televizyonuma bir anda böyle bir şey yapılması aşırı saçma. Böyle büyük bir platformun uğraştığı şeye bakın cidden pes. ( Samsung'la da iletişime geçtim ve sorunun Netflix'in aldığı bir karardan olduğunu ilettiler)
252,Kahve fiyatları tavan yaptı: Bir fincanının 40 yıl hatırı olduğu bilinen çekilmiş kahve fiyatları arttı. Kahvenin ... http://bit.ly/cosaI6
253,Başıboş Kedi ve köpekleri imha ederseniz başka hastalıkların ortaya çıkmasına neden olursunuz. Kuş gribi denilerek tavuklar İtilaf edilince keneler doğada çoğalmaya başladılar. Keneden ölen ne kadar çok insan oldu❗@tarimveormanbak
254,Kapattırdığım hat için fatura kesiyorsunuz dönüş yapacağız diyorsunuz iki gündür tık yok. Bu işleme onay verenlere lanet yağsın @VodafoneDestek @VodafoneTR
255,@Teknosa EnerjiSA'ya söyleyin @BEDASDestek gibi @enerjiSAdestek açın yada çekin gidin şu elektrik işinden
256,Kredi kartınızla işlem yapmak istediğimde işlem yapılamadıBankanizi aradığımda kredi kartları ile ilgili genel bir sorun olduğu ve işlem yapılamayacağı bilgisini aldımAncak bu durumun SMS İle duyurulması gerekmez mi?odeme yapmayinca zor durumda kaldık @VakifBankDestek @VakifBank
257,Bugün eşimle çibörek yemek için bu dükkana gittik. Oturduk tam 35 dakika siparişimizin gelmesini bekledik. Kasadaki beyefendi o kadar şimdi ağzımdan kötü bir laf çıkmasın kendisinin seviyesine inemeyeceğim. O kadar tuhaf ki. Ya hu 35 dakika beklemişim nezaket icabı dersin ki kusura bakmayın hemen ilgileniyorum. Ayaklarıma kapan demiyorum ki. Biraz mahcup ol. Yooooo sizin siparişinizi iptal ediyorum dedi. Ben o 35 dakikamın hesabını sana ahirette sormaz mıyım? Yediğin kul hakkını sana sormaz mıyım? Yüce Allah var. Senin kibrinden daha büyük. Neyse dükkandan aç açına çıktım. Okuyan arkadaş elin dükkanını kötüleyip iftira atacak değilim. Aklını başına al. Dur bir düşün. Ya bu insanların hepsi aynı yalanı mı söylüyor? Aç yorumları oku güzel kardeşim. Bizim gibi rezil olma. Sanki çibörek dükkanlarına kıran girdi? Adamda öyle bir tavır. Kovdu bizi dükkandan.
258,2 gün idare ediyor ki ben çok terleyen biriyim koltuk altlarım terlemiyor giysiye beyaz sarı leke bırakmıyor ve orjinal. Bence gönül rahatlığıyla alınabilir
259,Direk iban atın böyle ulu orta soymayın insanları @DominosDestek @DominosTR
260,Vodafone Net kadar kötü bir internet hizmeti görmedim. İnternet direğine bağlı olan kablomuz koptuğu için şikayet oluşturduk defalarca aramamıza rağmen 4 aydır yapılmadı. Durumu bildirdik ama telefon dahi yüzümüze kapatıldı. Üstüne kullanamadığımız internet için fatura ödüyoruz. Umarım birisi gerçekten yardımcı olur.
261,Millenicom internet fiyatının 2 katına çıkması. Kontrol etmedik diye gerçekten ayıptır. Muhtemelen bu son zamanlarımız bu firmayla. Evde de kullanıyoruz orada da aynı muhabbet. Taahhütsüz diye övünüyorlar bir bakmışsın olan olmuş.
262,@YouwinDestek
263,@enerjisadestek bugün şikayetimin sonucu için aradım bilgiler eksik dediler. Madem bilgi eksik neden aramıyorsunuz!!?. Şaşırtmadınız..:((
264,@taneratillla EN BÜYÜK HOROZ
265,Merhabalar Ankara-Nilüfer Köse/Gölbaşı BİM Şubesinde çalışan arkadaşlar başka bir BİM mağazasından alışveriş yaptım ve orada değiştirmek istedim. Yardımcı olmadılar. Ne ürünü değiştirebildim ne de iade yapabildim. Aldığınız şubeden yapabilirsiniz dendi. Oysaki başka BİM'lerde böyle bir şey olmadığını değişim ve iade konusunda yardımcı olduklarını biliyorum. Orada çalışan bayan müdür var sanırım hiçbir konuda yardımcı olmuyor ve kendi kafasına göre kural koyuyor. Tekrar aynı sorunu yaşamak istemiyorum bu işletmeden. Birkaç kere aynı sorunu yaşadım. Bu işletmede çalışan bayan arkadaş hiçbir konuda yardımcı olmuyor. Müşteri memnuniyeti sıfır!
